流水	装备id	进阶品阶	需求角色等级	进阶增加属性	进阶消耗材料	进阶消耗银币
8424	equip304070442006	10	80	4,280;24,698;26,463	item103015110413,750;item103015110303,100;item103015110416,50;item103015110412,1	2500000
8425	equip304070442006	11	85	4,322;24,803;26,532	item103015110413,1000;item103015110303,130;item103015110416,60;item103015110412,1	3000000
8426	equip304070442006	12	90	4,367;24,916;26,607	item103015110413,1250;item103015110303,160;item103015110416,70;item103015110412,1	3500000
8427	equip304070442006	13	90	4,416;24,1038;26,689	item103015110413,1500;item103015110303,190;item103015110416,80;item103015110412,1	4000000
8428	equip304070442006	14	90	4,469;24,1169;26,775	item103015110413,1800;item103015110303,230;item103015110416,100;item103015110412,1	4500000
8429	equip304070443001	1	48	4,18;24,45;26,38	item103015110413,30;item103015110303,3	50000
8430	equip304070443001	2	48	4,37;24,91;26,76	item103015110413,50;item103015110303,7	100000
8431	equip304070443001	3	48	4,60;24,147;26,122	item103015110413,70;item103015110303,15	150000
8432	equip304070443001	4	48	4,86;24,211;26,176	item103015110413,100;item103015110303,28	200000
8433	equip304070443001	5	55	4,117;24,284;26,238	item103015110413,150;item103015110303,40;item103015110412,1	250000
8434	equip304070443001	6	60	4,151;24,367;26,307	item103015110413,200;item103015110303,40;item103015110412,1	500000
8435	equip304070443001	7	65	4,185;24,450;26,376	item103015110413,300;item103015110303,42;item103015110416,10;item103015110412,1	1000000
8436	equip304070443001	8	70	4,223;24,542;26,453	item103015110413,400;item103015110303,55;item103015110416,20;item103015110412,1	1500000
8437	equip304070443001	9	75	4,260;24,634;26,529	item103015110413,500;item103015110303,70;item103015110416,40;item103015110412,1	2000000
8438	equip304070443001	10	80	4,302;24,735;26,614	item103015110413,750;item103015110303,100;item103015110416,50;item103015110412,1	2500000
8439	equip304070443001	11	85	4,347;24,845;26,706	item103015110413,1000;item103015110303,130;item103015110416,60;item103015110412,1	3000000
8440	equip304070443001	12	90	4,396;24,964;26,806	item103015110413,1250;item103015110303,160;item103015110416,70;item103015110412,1	3500000
8441	equip304070443001	13	90	4,449;24,1093;26,913	item103015110413,1500;item103015110303,190;item103015110416,80;item103015110412,1	4000000
8442	equip304070443001	14	90	4,506;24,1231;26,1029	item103015110413,1800;item103015110303,230;item103015110416,100;item103015110412,1	4500000
8443	equip304070443002	1	48	4,17;24,34;26,30	item103015110413,30;item103015110303,3	50000
8444	equip304070443002	2	48	4,35;24,68;26,60	item103015110413,50;item103015110303,7	100000
8445	equip304070443002	3	48	4,56;24,108;26,97	item103015110413,70;item103015110303,15	150000
8446	equip304070443002	4	48	4,80;24,156;26,140	item103015110413,100;item103015110303,28	200000
8447	equip304070443002	5	55	4,109;24,210;26,188	item103015110413,150;item103015110303,40;item103015110412,1	250000
8448	equip304070443002	6	60	4,140;24,272;26,243	item103015110413,200;item103015110303,40;item103015110412,1	500000
8449	equip304070443002	7	65	4,172;24,333;26,298	item103015110413,300;item103015110303,42;item103015110416,10;item103015110412,1	1000000
8450	equip304070443002	8	70	4,207;24,401;26,359	item103015110413,400;item103015110303,55;item103015110416,20;item103015110412,1	1500000
8451	equip304070443002	9	75	4,242;24,469;26,420	item103015110413,500;item103015110303,70;item103015110416,40;item103015110412,1	2000000
8452	equip304070443002	10	80	4,281;24,544;26,487	item103015110413,750;item103015110303,100;item103015110416,50;item103015110412,1	2500000
8453	equip304070443002	11	85	4,323;24,625;26,560	item103015110413,1000;item103015110303,130;item103015110416,60;item103015110412,1	3000000
8454	equip304070443002	12	90	4,369;24,714;26,639	item103015110413,1250;item103015110303,160;item103015110416,70;item103015110412,1	3500000
8455	equip304070443002	13	90	4,418;24,809;26,724	item103015110413,1500;item103015110303,190;item103015110416,80;item103015110412,1	4000000
8456	equip304070443002	14	90	4,471;24,911;26,816	item103015110413,1800;item103015110303,230;item103015110416,100;item103015110412,1	4500000
8457	equip304070443003	1	48	4,17;24,38;26,26	item103015110413,30;item103015110303,3	50000
8458	equip304070443003	2	48	4,34;24,76;26,53	item103015110413,50;item103015110303,7	100000
8459	equip304070443003	3	48	4,55;24,121;26,84	item103015110413,70;item103015110303,15	150000
8460	equip304070443003	4	48	4,79;24,174;26,121	item103015110413,100;item103015110303,28	200000
8461	equip304070443003	5	55	4,107;24,235;26,164	item103015110413,150;item103015110303,40;item103015110412,1	250000
8462	equip304070443003	6	60	4,138;24,304;26,212	item103015110413,200;item103015110303,40;item103015110412,1	500000
8463	equip304070443003	7	65	4,169;24,372;26,259	item103015110413,300;item103015110303,42;item103015110416,10;item103015110412,1	1000000
8464	equip304070443003	8	70	4,204;24,448;26,312	item103015110413,400;item103015110303,55;item103015110416,20;item103015110412,1	1500000
8465	equip304070443003	9	75	4,238;24,524;26,365	item103015110413,500;item103015110303,70;item103015110416,40;item103015110412,1	2000000
8466	equip304070443003	10	80	4,276;24,608;26,424	item103015110413,750;item103015110303,100;item103015110416,50;item103015110412,1	2500000
8467	equip304070443003	11	85	4,318;24,699;26,487	item103015110413,1000;item103015110303,130;item103015110416,60;item103015110412,1	3000000
8468	equip304070443003	12	90	4,363;24,798;26,556	item103015110413,1250;item103015110303,160;item103015110416,70;item103015110412,1	3500000
8469	equip304070443003	13	90	4,411;24,904;26,630	item103015110413,1500;item103015110303,190;item103015110416,80;item103015110412,1	4000000
8470	equip304070443003	14	90	4,463;24,1018;26,710	item103015110413,1800;item103015110303,230;item103015110416,100;item103015110412,1	4500000
8471	equip304070443004	1	48	4,17;24,41;26,34	item103015110413,30;item103015110303,3	50000
8472	equip304070443004	2	48	4,34;24,83;26,68	item103015110413,50;item103015110303,7	100000
8473	equip304070443004	3	48	4,55;24,134;26,110	item103015110413,70;item103015110303,15	150000
8474	equip304070443004	4	48	4,79;24,192;26,158	item103015110413,100;item103015110303,28	200000
8475	equip304070443004	5	55	4,107;24,260;26,213	item103015110413,150;item103015110303,40;item103015110412,1	250000
8476	equip304070443004	6	60	4,138;24,335;26,275	item103015110413,200;item103015110303,40;item103015110412,1	500000
8477	equip304070443004	7	65	4,170;24,411;26,337	item103015110413,300;item103015110303,42;item103015110416,10;item103015110412,1	1000000
8478	equip304070443004	8	70	4,204;24,495;26,405	item103015110413,400;item103015110303,55;item103015110416,20;item103015110412,1	1500000
8479	equip304070443004	9	75	4,239;24,578;26,474	item103015110413,500;item103015110303,70;item103015110416,40;item103015110412,1	2000000
8480	equip304070443004	10	80	4,277;24,671;26,550	item103015110413,750;item103015110303,100;item103015110416,50;item103015110412,1	2500000
8481	equip304070443004	11	85	4,319;24,771;26,632	item103015110413,1000;item103015110303,130;item103015110416,60;item103015110412,1	3000000
8482	equip304070443004	12	90	4,364;24,880;26,722	item103015110413,1250;item103015110303,160;item103015110416,70;item103015110412,1	3500000
8483	equip304070443004	13	90	4,412;24,998;26,818	item103015110413,1500;item103015110303,190;item103015110416,80;item103015110412,1	4000000
8484	equip304070443004	14	90	4,464;24,1124;26,921	item103015110413,1800;item103015110303,230;item103015110416,100;item103015110412,1	4500000
8485	equip304070443005	1	48	4,16;24,29;26,22	item103015110413,30;item103015110303,3	50000
8486	equip304070443005	2	48	4,32;24,59;26,44	item103015110413,50;item103015110303,7	100000
8487	equip304070443005	3	48	4,52;24,95;26,71	item103015110413,70;item103015110303,15	150000
8488	equip304070443005	4	48	4,75;24,137;26,103	item103015110413,100;item103015110303,28	200000
8489	equip304070443005	5	55	4,101;24,185;26,139	item103015110413,150;item103015110303,40;item103015110412,1	250000
8490	equip304070443005	6	60	4,130;24,239;26,179	item103015110413,200;item103015110303,40;item103015110412,1	500000
8491	equip304070443005	7	65	4,160;24,293;26,220	item103015110413,300;item103015110303,42;item103015110416,10;item103015110412,1	1000000
8492	equip304070443005	8	70	4,192;24,353;26,264	item103015110413,400;item103015110303,55;item103015110416,20;item103015110412,1	1500000
8493	equip304070443005	9	75	4,225;24,413;26,309	item103015110413,500;item103015110303,70;item103015110416,40;item103015110412,1	2000000
8494	equip304070443005	10	80	4,261;24,479;26,359	item103015110413,750;item103015110303,100;item103015110416,50;item103015110412,1	2500000
8495	equip304070443005	11	85	4,300;24,551;26,413	item103015110413,1000;item103015110303,130;item103015110416,60;item103015110412,1	3000000
8496	equip304070443005	12	90	4,343;24,628;26,471	item103015110413,1250;item103015110303,160;item103015110416,70;item103015110412,1	3500000
8497	equip304070443005	13	90	4,389;24,712;26,534	item103015110413,1500;item103015110303,190;item103015110416,80;item103015110412,1	4000000
8498	equip304070443005	14	90	4,438;24,802;26,601	item103015110413,1800;item103015110303,230;item103015110416,100;item103015110412,1	4500000
8499	equip304070443006	1	48	4,18;24,45;26,30	item103015110413,30;item103015110303,3	50000
8500	equip304070443006	2	48	4,36;24,91;26,60	item103015110413,50;item103015110303,7	100000
8501	equip304070443006	3	48	4,58;24,147;26,97	item103015110413,70;item103015110303,15	150000
8502	equip304070443006	4	48	4,84;24,211;26,140	item103015110413,100;item103015110303,28	200000
8503	equip304070443006	5	55	4,114;24,284;26,188	item103015110413,150;item103015110303,40;item103015110412,1	250000
8504	equip304070443006	6	60	4,147;24,367;26,243	item103015110413,200;item103015110303,40;item103015110412,1	500000
8505	equip304070443006	7	65	4,180;24,450;26,298	item103015110413,300;item103015110303,42;item103015110416,10;item103015110412,1	1000000
8506	equip304070443006	8	70	4,217;24,542;26,359	item103015110413,400;item103015110303,55;item103015110416,20;item103015110412,1	1500000
8507	equip304070443006	9	75	4,253;24,634;26,420	item103015110413,500;item103015110303,70;item103015110416,40;item103015110412,1	2000000
8508	equip304070443006	10	80	4,294;24,735;26,487	item103015110413,750;item103015110303,100;item103015110416,50;item103015110412,1	2500000
8509	equip304070443006	11	85	4,338;24,845;26,560	item103015110413,1000;item103015110303,130;item103015110416,60;item103015110412,1	3000000
8510	equip304070443006	12	90	4,386;24,964;26,639	item103015110413,1250;item103015110303,160;item103015110416,70;item103015110412,1	3500000
8511	equip304070443006	13	90	4,437;24,1093;26,724	item103015110413,1500;item103015110303,190;item103015110416,80;item103015110412,1	4000000
8512	equip304070443006	14	90	4,493;24,1231;26,816	item103015110413,1800;item103015110303,230;item103015110416,100;item103015110412,1	4500000
8513	equip305070441001	1	48	1,238;22,14;23,20	item103015110413,30;item103015110303,3	50000
8514	equip305070441001	2	48	1,477;22,29;23,40	item103015110413,50;item103015110303,7	100000
8515	equip305070441001	3	48	1,763;22,47;23,64	item103015110413,70;item103015110303,15	150000
8516	equip305070441001	4	48	1,1097;22,67;23,92	item103015110413,100;item103015110303,28	200000
8517	equip305070441001	5	55	1,1479;22,91;23,124	item103015110413,150;item103015110303,40;item103015110412,1	250000
8518	equip305070441001	6	60	1,1908;22,118;23,160	item103015110413,200;item103015110303,40;item103015110412,1	500000
8519	equip305070441001	7	65	1,2337;22,144;23,196	item103015110413,300;item103015110303,42;item103015110416,10;item103015110412,1	1000000
8520	equip305070441001	8	70	1,2814;22,174;23,237	item103015110413,400;item103015110303,55;item103015110416,20;item103015110412,1	1500000
8521	equip305070441001	9	75	1,3291;22,203;23,277	item103015110413,500;item103015110303,70;item103015110416,40;item103015110412,1	2000000
8522	equip305070441001	10	80	1,3816;22,236;23,321	item103015110413,750;item103015110303,100;item103015110416,50;item103015110412,1	2500000
8523	equip305070441001	11	85	1,4389;22,271;23,369	item103015110413,1000;item103015110303,130;item103015110416,60;item103015110412,1	3000000
8524	equip305070441001	12	90	1,5009;22,309;23,422	item103015110413,1250;item103015110303,160;item103015110416,70;item103015110412,1	3500000
8525	equip305070441001	13	90	1,5677;22,351;23,478	item103015110413,1500;item103015110303,190;item103015110416,80;item103015110412,1	4000000
8526	equip305070441001	14	90	1,6393;22,395;23,538	item103015110413,1800;item103015110303,230;item103015110416,100;item103015110412,1	4500000
8527	equip305070441002	1	48	1,208;22,19;23,22	item103015110413,30;item103015110303,3	50000
8528	equip305070441002	2	48	1,417;22,39;23,44	item103015110413,50;item103015110303,7	100000
8529	equip305070441002	3	48	1,668;22,62;23,71	item103015110413,70;item103015110303,15	150000
8530	equip305070441002	4	48	1,960;22,89;23,102	item103015110413,100;item103015110303,28	200000
8531	equip305070441002	5	55	1,1295;22,121;23,138	item103015110413,150;item103015110303,40;item103015110412,1	250000
8532	equip305070441002	6	60	1,1671;22,156;23,178	item103015110413,200;item103015110303,40;item103015110412,1	500000
8533	equip305070441002	7	65	1,2047;22,191;23,218	item103015110413,300;item103015110303,42;item103015110416,10;item103015110412,1	1000000
8534	equip305070441002	8	70	1,2465;22,230;23,263	item103015110413,400;item103015110303,55;item103015110416,20;item103015110412,1	1500000
8535	equip305070441002	9	75	1,2882;22,269;23,307	item103015110413,500;item103015110303,70;item103015110416,40;item103015110412,1	2000000
8536	equip305070441002	10	80	1,3342;22,312;23,356	item103015110413,750;item103015110303,100;item103015110416,50;item103015110412,1	2500000
8537	equip305070441002	11	85	1,3843;22,359;23,410	item103015110413,1000;item103015110303,130;item103015110416,60;item103015110412,1	3000000
8538	equip305070441002	12	90	1,4386;22,410;23,468	item103015110413,1250;item103015110303,160;item103015110416,70;item103015110412,1	3500000
8539	equip305070441002	13	90	1,4971;22,465;23,530	item103015110413,1500;item103015110303,190;item103015110416,80;item103015110412,1	4000000
8540	equip305070441002	14	90	1,5598;22,523;23,597	item103015110413,1800;item103015110303,230;item103015110416,100;item103015110412,1	4500000
8541	equip305070441003	1	48	1,215;22,22;23,15	item103015110413,30;item103015110303,3	50000
8542	equip305070441003	2	48	1,431;22,44;23,31	item103015110413,50;item103015110303,7	100000
8543	equip305070441003	3	48	1,689;22,70;23,49	item103015110413,70;item103015110303,15	150000
8544	equip305070441003	4	48	1,991;22,101;23,71	item103015110413,100;item103015110303,28	200000
8545	equip305070441003	5	55	1,1336;22,136;23,96	item103015110413,150;item103015110303,40;item103015110412,1	250000
8546	equip305070441003	6	60	1,1724;22,176;23,124	item103015110413,200;item103015110303,40;item103015110412,1	500000
